Title,Year,Rating,Votes
208. Mr. Smith Goes to Washington,1939,8.1,122
209. Ford v Ferrari,2019,8.1,484
210. Tokyo Story,1953,8.1,69
211. The Big Lebowski,1998,8.1,865
212. Rocky,1976,8.1,632
213. The Seventh Seal,1957,8.1,200
214. Room,2015,8.1,453
215. Logan,2017,8.1,839
216. Spotlight,2015,8.1,504
217. Hotel Rwanda,2004,8.1,374
218. The Terminator,1984,8.1,930
219. Platoon,1986,8.1,442
220. The Passion of Joan of Arc,1928,8.1,61
221. La haine,1995,8.1,198
222. Before Sunset,2004,8.1,290
223. Pirates of the Caribbean: The Curse of the Black Pearl,2003,8.1,1.2
224. The Best Years of Our Lives,1946,8.1,71
225. The Exorcist,1973,8.1,458
226. Jai Bhim,2021,8.7,218
227. Rush,2013,8.1,517
228. Network,1976,8.1,172
229. The Wizard of Oz,1939,8.1,431
230. Stand by Me,1986,8.1,445
231. The Incredibles,2004,8.0,815
232. Hachi: A Dog's Tale,2009,8.1,314
233. My Father and My Son,2005,8.2,93
234. The Sound of Music,1965,8.1,263
235. The Handmaiden,2016,8.1,175
236. Into the Wild,2007,8.1,661
237. To Be or Not to Be,1942,8.1,43
238. The Battle of Algiers,1966,8.1,66
239. The Grapes of Wrath,1940,8.1,101
240. Groundhog Day,1993,8.0,689
241. Amores Perros,2000,8.1,254
242. The Iron Giant,1999,8.1,230
243. Rebecca,1940,8.1,148
244. Cool Hand Luke,1967,8.1,190
245. The Help,2011,8.1,496
246. It Happened One Night,1934,8.1,113
247. Drishyam,2015,8.2,96
248. Aladdin,1992,8.0,471
249. Dances with Wolves,1990,8.0,293
250. Scent of a Woman,1992,8.0,332
